,precision,recall,f1-score,support
8PSK,0.8792899408284024,0.8573076923076923,0.868159688412853,2600.0
AM-DSB,0.6149268534589636,0.9538461538461539,0.7477762701643299,2600.0
AM-SSB,0.8967334035827187,0.9819230769230769,0.9373967321461355,2600.0
BPSK,0.9496683573936793,0.9361538461538461,0.9428626767383305,2600.0
CPFSK,0.9354838709677419,0.948076923076923,0.941738299904489,2600.0
GFSK,0.9543711656441718,0.9573076923076923,0.955837173579109,2600.0
PAM4,0.9876543209876543,0.9846153846153847,0.9861325115562404,2600.0
QAM16,0.9353728489483748,0.9407692307692308,0.9380632790028763,2600.0
QAM64,0.963874553394204,0.9338461538461539,0.9486227778863059,2600.0
QPSK,0.902016129032258,0.8603846153846154,0.8807086614173228,2600.0
WBFM,0.8584825234441603,0.3873076923076923,0.5337927378743705,2600.0
accuracy,0.8855944055944056,0.8855944055944056,0.8855944055944056,0.8855944055944056
macro avg,0.8979885425165753,0.8855944055944057,0.8800991644256694,28600.0
weighted avg,0.8979885425165754,0.8855944055944056,0.8800991644256694,28600.0
